#Series Time Value
Total 12:15:58 51.761402
Total 12:16:00 47.967781
Total 12:16:02 41.942856
Total 12:16:04 50.486652
Total 12:16:06 29.83769
Total 12:16:08 37.142063
Total 12:16:10 38.912682
Total 12:16:12 42.338379
Total 12:16:14 48.747974
Total 12:16:16 41.011108
Total 12:16:18 43.806225
Total 12:16:20 39.928787
Total 12:16:22 30.016634
Total 12:16:24 50.183739
Total 12:16:26 31.913422
Total 12:16:28 29.580055
Total 12:16:30 46.690426
Total 12:16:32 36.83651
Total 12:16:34 51.061523
Total 12:16:36 49.540771
Total 12:16:38 47.424805
Total 12:16:40 45.374844
Total 12:16:42 31.784346
Total 12:16:44 0
Total 12:16:46 0
Total 12:16:48 0
Total 12:16:50 0
Total 12:16:52 47.25169
Total 12:16:54 47.869396
Total 12:16:56 40.099815
Total 12:16:58 48.345612
Total 12:17:00 52.073143
Total 12:17:02 47.565849
Total 12:17:04 49.30518
Total 12:17:06 589.875793
Total 12:17:08 631.059387
Total 12:17:10 553.092712
Total 12:17:12 561.451172
Total 12:17:14 668.719421
Total 12:17:16 538.850525
Total 12:17:18 624.685852
Total 12:17:20 599.929199
Total 12:17:22 561.973999
Total 12:17:24 626.005676
Total 12:17:26 600.488098
Total 12:17:28 674.143372
Total 12:17:30 639.988342
Total 12:17:32 617.223816
Total 12:17:34 564.278198
Total 12:17:36 508.482452
Total 12:17:38 599.626953
Total 12:17:40 538.388916
Total 12:17:42 580.978394
Total 12:17:44 592.627319
Total 12:17:46 482.875275
Total 12:17:48 643.772156
Total 12:17:50 491.208923
Total 12:17:52 565.163818
Total 12:17:54 575.330261
Total 12:17:56 551.169556
Total 12:17:58 647.173706
Total 12:18:00 526.377502
Total 12:18:02 641.564331
Total 12:18:04 518.452332
Total 12:18:06 532.654785
Total 12:18:08 597.88385
Total 12:18:10 499.404907
Total 12:18:12 604.488831
Total 12:18:14 572.457642
Total 12:18:16 576.141235
Total 12:18:18 657.364319
Total 12:18:20 568.281738
Total 12:18:22 641.990662
Total 12:18:24 603.979187
Total 12:18:26 542.362122
Total 12:18:28 618.352966
Total 12:18:30 null
Total 12:18:32 null
Total 12:18:34 null
Total 12:18:36 null
Total 12:18:38 null
Total 12:18:40 null
Total 12:18:42 null
Total 12:18:44 null
Total 12:18:46 null
Total 12:18:48 null
Total 12:18:50 null
Total 12:18:52 null
Total 12:18:54 null
Total 12:18:56 null
Total 12:18:58 null
Total 12:19:00 null
Total 12:19:02 null
Total 12:19:04 null
Total 12:19:06 null
Total 12:19:08 null
Total 12:19:10 null
Total 12:19:12 null
Total 12:19:14 null
Total 12:19:16 null
Total 12:19:18 null
Total 12:19:20 null
Total 12:19:22 null
Total 12:19:24 null
Total 12:19:26 null
Total 12:19:28 null
Total 12:19:30 null
Total 12:19:32 null
Total 12:19:34 null
Total 12:19:36 null
Total 12:19:38 null
Total 12:19:40 null
Total 12:19:42 null
Total 12:19:44 null
Total 12:19:46 null
Total 12:19:48 null
Total 12:19:50 null
Total 12:19:52 null
Total 12:19:54 null
Total 12:19:56 null
Total 12:19:58 null
Total 12:20:00 null
Total 12:20:02 0
Total 12:20:04 734.237732
Total 12:20:06 690.332153
Total 12:20:08 787.548279
Total 12:20:10 667.813354
Total 12:20:12 742.485046
Total 12:20:14 743.699341
Total 12:20:16 719.773071
Total 12:20:18 725.210815
Total 12:20:20 621.319641
Total 12:20:22 751.502991
Total 12:20:24 709.91272
Total 12:20:26 751.373352
Total 12:20:28 858.32196
Total 12:20:30 626.205322
Total 12:20:32 753.888245
Total 12:20:34 745.032959
Total 12:20:36 739.199524
Total 12:20:38 710.540894
Total 12:20:40 646.800049
Total 12:20:42 840.291077
Total 12:20:44 787.758667
Total 12:20:46 713.395874
Total 12:20:48 706.197205
Total 12:20:50 684.973022
Total 12:20:52 771.779785
Total 12:20:54 678.718872
Total 12:20:56 637.140259
Total 12:20:58 786.322632
Total 12:21:00 715.272034
Total 12:21:02 799.640015
Total 12:21:04 748.039978
Total 12:21:06 674.013367
Total 12:21:08 842.824768
Total 12:21:10 675.510498
Total 12:21:12 774.85437
Total 12:21:14 716.489441
Total 12:21:16 724.515808
Total 12:21:18 784.225281
Total 12:21:20 659.468445
Total 12:21:22 814.958557
Total 12:21:24 764.860291
Total 12:21:26 826.194214
Total 12:21:28 725.254883
Total 12:21:30 615.840637
Total 12:21:32 751.611145
Total 12:21:34 659.152649
Total 12:21:36 722.157959
Total 12:21:38 727.770874
Total 12:21:40 688.952026
Total 12:21:42 744.762756
Total 12:21:44 645.933289
Total 12:21:46 729.174072
Total 12:21:48 681.259827
Total 12:21:50 652.592224
Total 12:21:52 null
Total 12:21:54 null
Total 12:21:56 null
Total 12:21:58 null
Total 12:22:00 null
Total 12:22:02 null
Total 12:22:04 null
Total 12:22:06 null
Total 12:22:08 null
Total 12:22:10 null
Total 12:22:12 null
Total 12:22:14 null
Total 12:22:16 null
Total 12:22:18 null
Total 12:22:20 null
Total 12:22:22 null
Total 12:22:24 null
Total 12:22:26 null
Total 12:22:28 null
Total 12:22:30 null
Total 12:22:32 null
Total 12:22:34 null
Total 12:22:36 null
Total 12:22:38 null
Total 12:22:40 null
Total 12:22:42 null
Total 12:22:44 null
Total 12:22:46 null
Total 12:22:48 null
Total 12:22:50 null
Total 12:22:52 null
Total 12:22:54 null
Total 12:22:56 null
Total 12:22:58 null
Total 12:23:00 null
Total 12:23:02 null
Total 12:23:04 null
Total 12:23:06 null
Total 12:23:08 null
Total 12:23:10 null
Total 12:23:12 null
Total 12:23:14 null
Total 12:23:16 null
Total 12:23:18 null
Total 12:23:20 null
Total 12:23:22 null
Total 12:23:24 null
Total 12:23:26 null
Total 12:23:28 null
Total 12:23:30 null
Total 12:23:32 null
Total 12:23:34 null
Total 12:23:36 null
Total 12:23:38 null
Total 12:23:40 null
Total 12:23:42 null
Total 12:23:44 null
Total 12:23:46 null
Total 12:23:48 null
Total 12:23:50 null
Total 12:23:52 null
Total 12:23:54 null
Total 12:23:56 null
Total 12:23:58 null
Total 12:24:00 null
Total 12:24:02 null
Total 12:24:04 null
Total 12:24:06 null
Total 12:24:08 null
Total 12:24:10 0
Total 12:24:12 642.868774
Total 12:24:14 736.550415
Total 12:24:16 659.292603
Total 12:24:18 602.387268
Total 12:24:20 692.551819
Total 12:24:22 588.412109
Total 12:24:24 null
Total 12:24:26 null
Total 12:24:28 null
Total 12:24:30 799.88623
Total 12:24:32 669.96344
Total 12:24:34 753.793823
Total 12:24:36 706.549927
Total 12:24:38 625.887634
Total 12:24:40 671.122131
Total 12:24:42 593.359314
Total 12:24:44 704.62738
Total 12:24:46 628.347839
Total 12:24:48 727.317932
Total 12:24:50 684.295471
Total 12:24:52 630.2995
Total 12:24:54 754.56897
Total 12:24:56 703.995178
Total 12:24:58 749.733154
Total 12:25:00 727.017151
Total 12:25:02 703.119568
Total 12:25:04 820.648315
Total 12:25:06 673.638611
Total 12:25:08 732.370483
Total 12:25:10 678.270447
Total 12:25:12 675.686523
Total 12:25:14 714.081848
